"filename", "language", "JavaScript", "JSON", "SCSS", "CSS", "Django txt", "Django HTML", "comment", "blank", "total"
"d:\Projects\SpotifyDL_GUI\SpotifyDL_GUI\SpotifyDL_GUI\css\index.css", "CSS", 0, 0, 0, 169, 0, 0, 19, 47, 235
"d:\Projects\SpotifyDL_GUI\SpotifyDL_GUI\SpotifyDL_GUI\css\mystyles.css", "CSS", 0, 0, 0, 7171, 0, 0, 10, 585, 7766
"d:\Projects\SpotifyDL_GUI\SpotifyDL_GUI\SpotifyDL_GUI\package-lock.json", "JSON", 0, 5256, 0, 0, 0, 0, 0, 1, 5257
"d:\Projects\SpotifyDL_GUI\SpotifyDL_GUI\SpotifyDL_GUI\package.json", "JSON", 0, 65, 0, 0, 0, 0, 0, 1, 66
"d:\Projects\SpotifyDL_GUI\SpotifyDL_GUI\SpotifyDL_GUI\sass\mystyles.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 3, 16
"d:\Projects\SpotifyDL_GUI\SpotifyDL_GUI\SpotifyDL_GUI\sdfafs\My Playlist #6\downloaded_songs.txt", "Django txt", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\Projects\SpotifyDL_GUI\SpotifyDL_GUI\SpotifyDL_GUI\src\index.html", "Django HTML", 0, 0, 0, 0, 0, 213, 0, 38, 251
"d:\Projects\SpotifyDL_GUI\SpotifyDL_GUI\SpotifyDL_GUI\src\index.js", "JavaScript", 31, 0, 0, 0, 0, 0, 15, 12, 58
"d:\Projects\SpotifyDL_GUI\SpotifyDL_GUI\SpotifyDL_GUI\src\script.js", "JavaScript", 234, 0, 0, 0, 0, 0, 9, 75, 318
"d:\Projects\SpotifyDL_GUI\SpotifyDL_GUI\SpotifyDL_GUI\src\settings.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 7
"Total", "-", 265, 5328, 13, 7340, 1, 213, 53, 763, 13976
